# AUTO-GENERATED by `lake exe scope-check --write` from docs/scope-tags.tsv and the
# kernel environment. Do not hand-edit. published = the weaker of a theorem's own
# (relation) tag and the model tags of the CflibsFormal definitions in its statement;
# PURE-MATH exempt (owner decision 2026-09-24; docs/conventions.md section 8).
# via = the tagged definitions that weakened it.
# module	name	kind	own	published	via
Alt/SelfAbsorbed.lean	selfAbsorbed_corrects_bias	theorem	EXACT	APPROXIMATION	selfAbsorbedIntensity
Alt/SelfAbsorbed.lean	selfAbsorbed_eq_classic_corrected	theorem	PURE-MATH	PURE-MATH	—
Alt/SelfAbsorbed.lean	selfAbsorbed_eq_classic_thin	theorem	PURE-MATH	PURE-MATH	—
Alt/SelfAbsorbed.lean	selfAbsorbed_sound	theorem	EXACT	APPROXIMATION	selfAbsorbedIntensity,selfAbsorptionFactor
Alt/StochasticBudget.lean	alphaHat_chebyshev	theorem	REDUCED	REDUCED	—
Alt/StochasticBudget.lean	alphaHat_estimator_eq	theorem	PURE-MATH	PURE-MATH	—
Alt/StochasticBudget.lean	alphaHat_memLp_two	theorem	PURE-MATH	PURE-MATH	—
Alt/StochasticBudget.lean	alphaHat_unbiased	theorem	REDUCED	REDUCED	—
Alt/StochasticBudget.lean	alphaHat_variance_eq	theorem	EXACT	EXACT	—
Alt/StochasticBudget.lean	betaHat_memLp_two	theorem	PURE-MATH	PURE-MATH	—
Alt/StochasticBudget.lean	composition_tail_union	theorem	REDUCED	REDUCED	—
Alt/StochasticBudget.lean	density_event_subset	theorem	PURE-MATH	PURE-MATH	—
Alt/StochasticBudget.lean	density_tail_species	theorem	REDUCED	REDUCED	—
Alt/StochasticBudget.lean	olsSlope_chebyshev	theorem	REDUCED	REDUCED	—
Alt/StochasticBudget.lean	olsSlope_subGaussian_tail	theorem	REDUCED	REDUCED	—
Alt/StochasticBudget.lean	temp_slope_event_subset	theorem	PURE-MATH	PURE-MATH	—
Alt/StochasticBudget.lean	temp_tail_transfer	theorem	REDUCED	REDUCED	—
Analysis.lean	abs_exp_sub_le	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	abs_exp_sub_one_le	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	abs_log_ratio_le	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	coupledFixedPoint_le_of_map_le	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	coupledFixedPoint_lt_of_map_lt	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	exp_sub_le_mul	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	inv_kT_sub_le	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	strictAntiOn_div_of_deriv_num_neg	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	sym2x2_coercive	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	sym2x2_condition	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	sym2x2_quadForm	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	sym2x2_upper	theorem	PURE-MATH	PURE-MATH	—
Analysis.lean	temp_exp_diff_lower	theorem	PURE-MATH	PURE-MATH	—
AtomicDataPerturbation.lean	classicComposition_atomicData_error	theorem	REDUCED	REDUCED	—
AtomicDataPerturbation.lean	classicComposition_temperature_error	theorem	REDUCED	REDUCED	—
AtomicDataPerturbation.lean	classicDensity_aliasing	theorem	EXACT	REDUCED	lineIntensity
AtomicDataPerturbation.lean	classicDensity_aliasing_error	theorem	REDUCED	REDUCED	—
AtomicDataPerturbation.lean	classicDensity_aliasing_error_channels	theorem	REDUCED	REDUCED	—
AtomicDataPerturbation.lean	classicDensity_aliasing_error_energy	theorem	REDUCED	REDUCED	—
AtomicDataPerturbation.lean	classicDensity_temperature_aliasing	theorem	EXACT	REDUCED	lineIntensity
AtomicDataPerturbation.lean	classicDensity_temperature_aliasing_error	theorem	REDUCED	REDUCED	—
Boltzmann.lean	boltzmannFactor_pos	theorem	PURE-MATH	PURE-MATH	—
Boltzmann.lean	boltzmann_plot	theorem	EXACT	EXACT	—
Boltzmann.lean	partitionFunction_pos	theorem	PURE-MATH	PURE-MATH	—
Boltzmann.lean	population_sum	theorem	EXACT	EXACT	—
Boltzmann.lean	temperature_from_two_levels	theorem	EXACT	EXACT	—
Certificates.lean	aliasBudget_certificate_sound	theorem	REDUCED	REDUCED	—
Certificates.lean	compBudget_certificate_sound	theorem	REDUCED	REDUCED	—
Certificates.lean	conditioning_certificate_sound	theorem	PURE-MATH	PURE-MATH	—
Certificates.lean	dampedIter_certificate_sound	theorem	REDUCED	REDUCED	—
Certificates.lean	energySpread_certificate_sound	theorem	REDUCED	REDUCED	—
Certificates.lean	jointRank_certificate_sound	theorem	REDUCED	REDUCED	—
Certificates.lean	knownTau_certificate_sound	theorem	PURE-MATH	PURE-MATH	—
Certificates.lean	mcWhirter_certificate_sound	theorem	REDUCED	REDUCED	—
Certificates.lean	saDistinct_certificate_sound	theorem	REDUCED	REDUCED	—
Certificates.lean	sahaIter_certificate_sound	theorem	REDUCED	REDUCED	—
Certificates.lean	slopeBudget_certificate_sound	theorem	REDUCED	REDUCED	—
Certificates.lean	tempBudget_certificate_sound	theorem	REDUCED	REDUCED	—
Classic.lean	classicDensity_recovers	theorem	EXACT	REDUCED	lineIntensity
Classic.lean	classic_calibration_free	theorem	EXACT	EXACT	—
Classic.lean	classic_sound	theorem	EXACT	REDUCED	lineIntensity
Classic.lean	classic_sound_sum_one	theorem	PURE-MATH	PURE-MATH	—
Classic.lean	classic_temperature_correct	theorem	REDUCED	REDUCED	—
Closure.lean	composition_le_one	theorem	PURE-MATH	PURE-MATH	—
Closure.lean	composition_mem_stdSimplex	theorem	EXACT	EXACT	—
Closure.lean	composition_nonneg	theorem	PURE-MATH	PURE-MATH	—
Closure.lean	composition_smul_invariant	theorem	EXACT	EXACT	—
Closure.lean	composition_sum_one	theorem	EXACT	EXACT	—
Closure.lean	totalDensity_pos	theorem	PURE-MATH	PURE-MATH	—
CompositionIdentifiability.lean	compositionIdentifiable	theorem	EXACT	REDUCED	PlasmaParams,lineIntensity
CompositionIdentifiability.lean	compositionIdentifiable_T	theorem	EXACT	REDUCED	PlasmaParams,lineIntensity
CompositionIdentifiability.lean	observeMulti_inl	theorem	PURE-MATH	PURE-MATH	—
CompositionRobustness.lean	composition_abs_sub_le	theorem	PURE-MATH	PURE-MATH	—
CompositionRobustness.lean	composition_abs_sub_le_bound	theorem	PURE-MATH	PURE-MATH	—
CompositionRobustness.lean	composition_dist_vector_le	theorem	PURE-MATH	PURE-MATH	—
CompositionRobustness.lean	composition_sub_eq	theorem	PURE-MATH	PURE-MATH	—
CompositionRobustness.lean	totalDensity_abs_sub_le	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	boltzmannConditionNumber_eq_of_spread_le	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	card_div_spread_le_conditionNumber	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	conditionCeiling_of_requiredEnergySpread	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	conditionNumber_antitone_of_spread	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	conditionNumber_disagrees_with_dOptimality	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	conditionNumber_le_of_spread_floor	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	conditionRoute_slope_target	theorem	REDUCED	REDUCED	—
ConditionNumber.lean	nonvacuity_conditionNumber_value	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	nonvacuity_fit_error_fires	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	nonvacuity_fit_error_values	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	nonvacuity_slope_error_fires	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	nonvacuity_slope_error_values	theorem	PURE-MATH	PURE-MATH	—
ConditionNumber.lean	olsFit_error_sq_le_conditionNumber	theorem	REDUCED	REDUCED	—
ConditionNumber.lean	olsSlope_error_le_sqrt_conditionNumber	theorem	REDUCED	REDUCED	—
ConditionNumber.lean	temp_rel_error_le_sqrt_conditionNumber	theorem	REDUCED	REDUCED	—
ConformalCoverage.lean	card_le_card_covered	theorem	PURE-MATH	PURE-MATH	—
ConformalCoverage.lean	conformal_coverage_fraction	theorem	PURE-MATH	PURE-MATH	—
ConformalCoverage.lean	conformal_coverage_of_exchangeable	theorem	PURE-MATH	PURE-MATH	—
Continuum.lean	baseline_subtraction_exact	theorem	EXACT	EXACT	—
Continuum.lean	contEmissivitySingly_eq	theorem	PURE-MATH	PURE-MATH	—
Continuum.lean	contEmissivity_pos	theorem	PURE-MATH	PURE-MATH	—
Continuum.lean	contEmissivity_strictMono_ne	theorem	PURE-MATH	PURE-MATH	—
Continuum.lean	lineToContRatio_pos	theorem	PURE-MATH	PURE-MATH	—
Continuum.lean	lineToContRatio_strictMono_T	theorem	PURE-MATH	PURE-MATH	—
CurveOfGrowth.lean	cogIntensity_injective	theorem	REDUCED	REDUCED	—
CurveOfGrowth.lean	cogIntensity_slab_eq	theorem	PURE-MATH	PURE-MATH	—
CurveOfGrowth.lean	cogIntensity_strictMono	theorem	REDUCED	REDUCED	—
CurveOfGrowth.lean	cogRatio_deriv_num_neg	theorem	PURE-MATH	PURE-MATH	—
CurveOfGrowth.lean	cogRatio_eq_intensity_ratio	theorem	PURE-MATH	PURE-MATH	—
CurveOfGrowth.lean	cogRatio_injOn	theorem	REDUCED	REDUCED	—
CurveOfGrowth.lean	cogRatio_strictAntiOn	theorem	PURE-MATH	PURE-MATH	—
CurveOfGrowth.lean	cogSlope_strictAntiOn	theorem	PURE-MATH	PURE-MATH	—
CurveOfGrowth.lean	cog_denom_pos	theorem	PURE-MATH	PURE-MATH	—
CurveOfGrowth.lean	exp_mul_one_sub_lt_one	theorem	PURE-MATH	PURE-MATH	—
DifferentialEstimator.lean	classic_biased_differential_exact	theorem	EXACT	REDUCED	lineIntensity
DifferentialEstimator.lean	differentialComposition_exact_of_matched	theorem	EXACT	APPROXIMATION	selfAbsorbedIntensity
DifferentialEstimator.lean	differentialRatio_eq_density_ratio	theorem	EXACT	REDUCED	lineIntensity
DifferentialEstimator.lean	differentialRatio_error_bound	theorem	REDUCED	REDUCED	—
DifferentialEstimator.lean	differentialRatio_immune_to_atomicData	theorem	EXACT	REDUCED	lineIntensity
DifferentialEstimator.lean	differentialRatio_selfAbsorbed_matched	theorem	EXACT	APPROXIMATION	selfAbsorbedIntensity
DifferentialEstimator.lean	differentialRatio_selfAbsorption_cancels_iff	theorem	EXACT	APPROXIMATION	selfAbsorbedIntensity
DifferentialEstimator.lean	differentialRatio_selfAbsorption_residual	theorem	EXACT	APPROXIMATION	selfAbsorbedIntensity,selfAbsorptionFactor
DifferentialEstimator.lean	differentialSlope_eq_neg_dbeta	theorem	EXACT	REDUCED	lineIntensity
DifferentialEstimator.lean	differentialSlope_two_lines	theorem	EXACT	REDUCED	lineIntensity
DifferentialEstimator.lean	logDifferentialRatio_affine_in_E	theorem	EXACT	REDUCED	lineIntensity
Dimensions.lean	boltzmannConstant_eq	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	boltzmann_arg_dimensionless	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	einsteinA_photonEnergy_dim	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	energy_eq	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	hydrogenStark_homogeneous	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	planckConstant_eq	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	rootSumSquare_length_dim	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	sahaFactor_dim	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	sahaLaw_homogeneous	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	shiftWidthRatio_dimensionless	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	siToCgs_energy	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	siToCgs_mul	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	siToCgs_numberDensity	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	siToCgs_one	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	starkShift_homogeneous	theorem	PURE-MATH	PURE-MATH	—
Dimensions.lean	thermalBracket_dim	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	cogRatio_pos	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	doubletRatio_continuousOn	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	doubletRatio_determines_tau	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	doubletRatio_eq_cogRatio	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	doubletRatio_eq_inv_cogRatio	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	doubletRatio_eq_measured_ratio	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	doubletRatio_injOn	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	doubletRatio_pos	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	doubletRatio_scale_invariant	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	doubletRatio_strictAntiOn	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	doubletRatio_strictMonoOn	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	doublet_denom_pos	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	doublet_determines_columnDensity	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	doublet_exact_fit	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	doublet_fit_unique	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	doublet_identifies_columnDensity_calibration_free	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	doublet_residual_vacuous	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	inhomogeneous_doublet_admits_exact_homogeneous_fit	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	one_lt_doubletRatio	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	single_line_tau_alias	theorem	REDUCED	REDUCED	—
DoubletChannel.lean	slab_second_eq_mul_ratio	theorem	PURE-MATH	PURE-MATH	—
DoubletChannel.lean	weighted_mean_strict_between	theorem	PURE-MATH	PURE-MATH	—
EquivalentWidth.lean	equivWidth_integrand_integrable	theorem	PURE-MATH	PURE-MATH	—
EquivalentWidth.lean	equivWidth_le_thin	theorem	EXACT	EXACT	—
EquivalentWidth.lean	equivWidth_lorentzian_scaled	theorem	EXACT	EXACT	—
EquivalentWidth.lean	equivWidth_lorentzian_sqrt_lower	theorem	EXACT	EXACT	—
EquivalentWidth.lean	equivWidth_lorentzian_sqrt_sharp	theorem	EXACT	EXACT	—
EquivalentWidth.lean	equivWidth_lorentzian_sqrt_two_sided	theorem	EXACT	EXACT	—
EquivalentWidth.lean	equivWidth_lorentzian_sqrt_upper	theorem	EXACT	EXACT	—
EquivalentWidth.lean	equivWidth_mono	theorem	EXACT	EXACT	—
EquivalentWidth.lean	equivWidth_nonneg	theorem	PURE-MATH	PURE-MATH	—
EquivalentWidth.lean	equivWidth_rectangular	theorem	EXACT	EXACT	—
EquivalentWidth.lean	equivWidth_weakLine	theorem	EXACT	EXACT	—
EquivalentWidth.lean	integral_one_sub_exp_neg_inv_sq	theorem	PURE-MATH	PURE-MATH	—
EquivalentWidth.lean	lorentzian_integrable	theorem	PURE-MATH	PURE-MATH	—
EquivalentWidth.lean	lorentzian_integral	theorem	PURE-MATH	PURE-MATH	—
EquivalentWidth.lean	lorentzian_pos	theorem	PURE-MATH	PURE-MATH	—
EquivalentWidth.lean	nvLz_sqrt_lower_at_threshold	theorem	EXACT	EXACT	—
EquivalentWidth.lean	slabCurve_forward_lipschitz	theorem	EXACT	EXACT	—
EquivalentWidth.lean	slabCurve_inverse_lipschitz	theorem	EXACT	EXACT	—
EquivalentWidth.lean	slabCurve_roundTrip_lipschitz	theorem	EXACT	EXACT	—
EquivalentWidth.lean	tendsto_integral_g_beta	theorem	PURE-MATH	PURE-MATH	—
ErrorBudget.lean	combinedSahaBoltzmannSlope	def	REDUCED	REDUCED	—
ErrorBudget.lean	combinedSlopeTempUpdate_lipschitz	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	combinedSlope_offset_lipschitz	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	composition_abs_sub_le_uniform	theorem	PURE-MATH	PURE-MATH	—
ErrorBudget.lean	composition_target_sufficient	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	maxPerLineError_sufficient	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	olsIntercept_stable_centered	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	olsIntercept_stable_hetero	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	olsSlope_l1_const_two	theorem	PURE-MATH	PURE-MATH	—
ErrorBudget.lean	olsSlope_stable_hetero	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	olsSlope_stable_l1	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	olsSlope_stable_l1_of_hetero	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	olsSlope_stable_l2	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	olsSlope_stable_l2_sq	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	olsSlope_stable_two	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	relDensity_le	theorem	EXACT	EXACT	—
ErrorBudget.lean	requiredEnergySpread_sufficient	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	temp_rel_error_eq	theorem	EXACT	EXACT	—
ErrorBudget.lean	temp_rel_error_hetero	theorem	REDUCED	REDUCED	—
ErrorBudget.lean	temp_rel_error_le	theorem	REDUCED	REDUCED	—
EvaluatorSoundness.lean	gateCore_composition_error_le	theorem	REDUCED	REDUCED	—
EvaluatorSoundness.lean	hardGateBundle_composition_error_le	theorem	REDUCED	REDUCED	—
EvaluatorSoundness.lean	hardGateBundle_implies_noise_to_composition_hyps	theorem	PURE-MATH	PURE-MATH	—
EvaluatorSoundness.lean	hardGateBundle_of_certificates_report	theorem	PURE-MATH	PURE-MATH	—
EvaluatorSoundness.lean	hardGateBundle_slope_error_le	theorem	REDUCED	REDUCED	—
EvaluatorSoundness.lean	hardGateBundle_thermalizationLimit	theorem	REDUCED	REDUCED	—
FisherLineSelection.lean	crlb_insert_le	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	crlb_slope	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	fisherInfoSlope_nonneg	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	fisherInfoSlope_pos	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	fisherInfo_insert_ge	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	no_gain_iff	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	nonvacuity_crlb_attained	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	nonvacuity_far_line	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	nonvacuity_line_at_mean	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	olsSlope_attains_crlb	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	spreadOn_empty	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	spreadOn_insert	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	spreadOn_insert_eq_iff	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	spreadOn_insert_ge	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	spreadOn_insert_lt_iff	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	spreadOn_mono	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	spreadOn_nonneg	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	sum_sq_sub_eq_spreadOn_add	theorem	PURE-MATH	PURE-MATH	—
FisherLineSelection.lean	sum_sub_finsetMean	theorem	PURE-MATH	PURE-MATH	—
ForwardMap.lean	boltzmann_plot_intensity	theorem	REDUCED	REDUCED	—
ForwardMap.lean	lineIntensity	def	REDUCED	REDUCED	—
ForwardMap.lean	lineIntensity_pos	theorem	PURE-MATH	PURE-MATH	—
ForwardMap.lean	temperature_from_two_lines	theorem	REDUCED	REDUCED	—
ForwardMapEnergy.lean	boltzmann_plot_intensity_wavelength	theorem	EXACT	EXACT	—
ForwardMapEnergy.lean	lineIntensityEnergy_eq_lineIntensity	theorem	REDUCED	REDUCED	—
ForwardMapEnergy.lean	lineIntensityEnergy_mul_lam	theorem	REDUCED	REDUCED	—
ForwardMapEnergy.lean	lineIntensityEnergy_pos	theorem	PURE-MATH	PURE-MATH	—
ForwardMapEnergy.lean	temperature_from_two_lines_wavelength	theorem	EXACT	EXACT	—
HeteroAtomicData.lean	heteroSlopeBound_const	theorem	PURE-MATH	PURE-MATH	—
HeteroAtomicData.lean	heteroSlopeBound_le_global	theorem	PURE-MATH	PURE-MATH	—
HeteroAtomicData.lean	heteroSlopeBound_lt_global_witness	theorem	PURE-MATH	PURE-MATH	—
HeteroAtomicData.lean	nvP_heteroSlopeBound_value	theorem	PURE-MATH	PURE-MATH	—
